product_name,cost_low,cost_high,currency,min_order_quantity,unit,supplier_name,source_url
EV power battery,4.4,5.0,USD,45,Piece,Nantong Ningyuan Automation Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Cylindrical_Lithium_Ion_Battery_Cell.html
EV power battery,1.45,1.78,USD,2,Piece,Shenzhen Xinxinchen Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Cylindrical_Lithium_Ion_Battery_Cell.html
EV power battery,0.135,0.145,USD,1000000,Wh,Dagong Huiyao Intelligent Technology Luoyang Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/EV_Battery_Management_System.html
Electrolyte additive,12.0,50.0,USD,10,kg,Shandong Gelon Lib Co. Ltd. (NMP solvent),https://www.made-in-china.com/products-search/hot-china-products/Artificial_Graphite_Anode_Material.html
Energy storage system,100.0,180.0,USD,1,kWh,Anhui Hanxing (125kw BESS),https://www.made-in-china.com/products-search/hot-china-products/Energy_Storage_System_Battery.html
Energy storage system,1039.0,1083.0,USD,1,Piece,GSL Energy (10-24kWh home),https://www.made-in-china.com/products-search/hot-china-products/Energy_Storage_System_Battery.html
Energy storage system,455.0,495.0,USD,1,Piece,Nanjing Oulu (5kWh wall-mount),https://www.made-in-china.com/products-search/hot-china-products/Energy_Storage_System_Battery.html
Graphite anode material,20.0,25.0,USD,25,kg,Dongguan Gelon Lib (natural graphite),https://www.made-in-china.com/products-search/hot-china-products/Graphite_Anode_Material.html
Graphite anode material,20.0,34.0,USD,1,kg,Shandong Gelon Lib (natural/artificial),https://www.made-in-china.com/products-search/hot-china-products/Graphite_Anode_Material.html
Graphite anode material,30.0,35.0,USD,1,Piece,Zibo Yinxuan Carbon,https://www.made-in-china.com/products-search/hot-china-products/Graphite_Anode_Material.html
High-nickel cathode material,90.0,110.0,USD,5,kg,Shandong Gelon Lib (high nickel NMC),https://www.made-in-china.com/products-search/hot-china-products/High_Nickel_Cathode_Material.html
High-nickel cathode material,50.0,65.0,USD,1,kg,Dongguan Gelon Lib (NCA),https://www.made-in-china.com/products-search/hot-china-products/High_Nickel_Cathode_Material.html
High-nickel cathode material,100.0,120.0,USD,1,kg,Shandong Gelon Lib (9-series NMC precursor),https://www.made-in-china.com/products-search/hot-china-products/High_Nickel_Cathode_Material.html
LFP battery cell,19.0,23.0,USD,50,Piece,Ningbo NBCELL (3.2V 100-105ah),https://www.made-in-china.com/products-search/hot-china-products/LFP_Battery_Cell.html
LFP battery cell,34.0,36.0,USD,4,Piece,Hunan CTS (3.2V 280-320ah),https://www.made-in-china.com/products-search/hot-china-products/LFP_Battery_Cell.html
LFP battery cell,44.35,46.57,USD,100,Piece,Wenzhou Jinling (3.2V 280ah),https://www.made-in-china.com/products-search/hot-china-products/LFP_Battery_Cell.html
LFP cathode material,20.0,35.0,USD,5,kg,Shandong Gelon Lib (LiFePO4 powder),https://www.made-in-china.com/products-search/hot-china-products/LFP_Cathode_Material.html
LFP cathode material,36.0,45.0,USD,1,kg,Shandong Gelon Lib (high-rate LFP),https://www.made-in-china.com/products-search/hot-china-products/LFP_Cathode_Material.html
LFP cathode material,55.0,55.0,USD,1,kg,Dongguan Gelon Lib (lab-grade),https://www.made-in-china.com/products-search/hot-china-products/LFP_Cathode_Material.html
LMFP cathode material,45.0,45.0,USD,1,kg,Shandong Gelon Lib (LiMn0.7Fe0.3PO4),https://www.made-in-china.com/products-search/hot-china-products/LMFP_Cathode_Material.html
LMFP cathode material,90.0,90.0,USD,1,kg,Dongguan Gelon Lib (high purity LMFP),https://www.made-in-china.com/products-search/hot-china-products/LMFP_Cathode_Material.html
LMFP cathode material,37.0,38.0,USD,1,kg,Dongguan Gelon Lib (LMFP64 powder),https://www.made-in-china.com/products-search/hot-china-products/LMFP_Cathode_Material.html
Lithium battery material,35.0,50.0,USD,5,kg,Shandong Gelon Lib (LFP cathode powder),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Battery_Material.html
Lithium battery material,80.0,100.0,USD,25,kg,Dongguan Gelon Lib (NCM cathode powder),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Battery_Material.html
Lithium battery material,5.0,15.0,USD,1,kg,Shandong Deshang Chemical (lithium hydroxide),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Battery_Material.html
Lithium battery tab,0.02,0.05,USD,1000,Piece,Dongguan Bangteng (nickel tabs),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Battery_Tab.html
Lithium battery tab,0.2,0.7,USD,200,Piece,Shandong Gelon Lib (Al/Ni tabs),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Battery_Tab.html
Lithium battery tab,0.1,1.0,USD,1,pair,Dongguan Gelon Lib (Ni/Al tabs),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Battery_Tab.html
Lithium carbonate,10.0,13.0,USD,500,kg,Gansu Huahui / Cq Hai Chem,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Carbonate.html
Lithium carbonate,17.5,20.0,USD,1000,kg,Hubei Tao Yuan,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Carbonate.html
Lithium carbonate,9.5,10.8,USD,200,kg,Shandong Andy Chemical,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Carbonate.html
Lithium hexafluorophosphate,10.0,100.0,USD,1,kg,Jiangsu Juming Chemical Technology,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Hexafluorophosphate.html
Lithium hexafluorophosphate,33.0,37.0,USD,200,kg,Suzhou Senfeida Chemical,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Hexafluorophosphate.html
Lithium hexafluorophosphate,10.0,15.0,USD,20000,kg,Qingdao Shingchem,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Hexafluorophosphate.html
Lithium manganese oxide cathode material,7.0,8.5,USD,500,kg,Xinxiang Zhongtian New Energy Technology,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Manganese_Oxide_Cathode_Material.html
Lithium manganese oxide cathode material,3.57,20.0,USD,1,kg,Dongguan Gelon Lib / Shandong Gelon Lib,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Manganese_Oxide_Cathode_Material.html
Lithium manganese oxide cathode material,100.0,140.0,USD,1,kg,Shandong Gelon Lib (LMO powder),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Battery_Material.html
Lithium-ion battery / Lithium-ion battery pack,150.0,400.0,USD,10,Piece,Nantong Ningyuan Automation Technology,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Pack.html
Lithium-ion battery / Lithium-ion battery pack,129.0,155.0,USD,2,Piece,Dongguan Youli Power Technology,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Pack.html
Lithium-ion battery / Lithium-ion battery pack,190.0,239.0,USD,5,kWh,Eway Energy (EV battery pack),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Pack.html
Lithium-ion battery aluminum-plastic film,12.0,15.0,USD,120,sqm,Dongguan Gelon Lib,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Aluminum_Plastic_Film.html
Lithium-ion battery aluminum-plastic film,9.0,15.0,USD,10,sqm,Shandong Gelon Lib,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Aluminum_Plastic_Film.html
Lithium-ion battery aluminum-plastic film,0.07,0.42,USD,6000,sqm,Hangzhou Keneng,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Aluminum_Plastic_Film.html
Lithium-ion battery anode current collector,24.0,35.0,USD,5,kg,Dongguan Gelon Lib (copper foil),https://www.made-in-china.com/products-search/hot-china-products/Copper_Foil_Battery_Current_Collector.html
Lithium-ion battery anode current collector,30.0,40.0,USD,1,kg,Dongguan Gelon Lib (microporous copper foil),https://www.made-in-china.com/products-search/hot-china-products/Copper_Foil_Battery_Current_Collector.html
Lithium-ion battery anode current collector,8.0,40.0,USD,5,kg,Shandong Gelon Lib (Al foil cathode collector),https://www.made-in-china.com/products-search/hot-china-products/Copper_Foil_Battery_Current_Collector.html
Lithium-ion battery cell,1.4,1.7,USD,3000,Piece,A&S Power (18650 cell),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Cell.html
Lithium-ion battery cell,67.74,93.85,USD,16,Piece,Eve Energy (prismatic 314ah),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Cell.html
Lithium-ion battery cell,34.0,36.0,USD,4,Piece,Hunan CTS (280-320ah LFP),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Cell.html
Lithium-ion battery electrolyte,6.0,8.0,USD,100,kg,Qingdao Shingchem,https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Electrolyte.html
Lithium-ion battery electrolyte,25.0,180.0,USD,1,kg,Shandong Gelon Lib (LiPF6 based),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Electrolyte.html
Lithium-ion battery electrolyte,80.0,80.0,USD,5,kg,Dongguan Gelon Lib (99% pure),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Electrolyte.html
Lithium-ion battery separator,0.1,0.2,USD,1000,sqm,Fancyco (PE/PP film),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Separator.html
Lithium-ion battery separator,1.7,2.0,USD,5000,sqm,Glory Tang (ceramic coated),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Separator.html
Lithium-ion battery separator,3.6,3.9,USD,1,m,Dongguan Gelon Lib (PP/PE/PP trilayer),https://www.made-in-china.com/products-search/hot-china-products/Lithium_Ion_Battery_Separator.html
NCM cathode material,26.4,30.0,USD,5,kg,Dongguan Gelon Lib (NMC811),https://www.made-in-china.com/products-search/hot-china-products/NCM_Cathode_Material.html
NCM cathode material,69.0,120.0,USD,1,bag,Shandong Gelon Lib (Ni90),https://www.made-in-china.com/products-search/hot-china-products/NCM_Cathode_Material.html
NCM cathode material,80.0,100.0,USD,25,kg,Dongguan Gelon Lib,https://www.made-in-china.com/products-search/hot-china-products/NCM_Cathode_Material.html
PCS inverter,5700.0,6284.0,USD,1,Piece,Mate Solar (30-500kw),https://www.made-in-china.com/products-search/hot-china-products/PCS_Inverter.html
PCS inverter,8715.0,8800.0,USD,1,Piece,Alicosolar Megarevo (50-500kw),https://www.made-in-china.com/products-search/hot-china-products/PCS_Inverter.html
PCS inverter,39.9,2685.0,USD,1,Piece,Xinyuhua (3kw-2000kw range),https://www.made-in-china.com/products-search/hot-china-products/PCS_Inverter.html
Silicon-based anode material,130.0,170.0,USD,5,kg,Shandong Gelon Lib (Si-graphite S650),https://www.made-in-china.com/products-search/hot-china-products/Silicon_Anode_Material.html
Silicon-based anode material,180.0,210.0,USD,1,kg,Dongguan Gelon Lib (Si-graphite composite),https://www.made-in-china.com/products-search/hot-china-products/Silicon_Anode_Material.html
Silicon-based anode material,115.0,140.0,USD,1,kg,Shandong Gelon Lib (Si-C powder),https://www.made-in-china.com/products-search/hot-china-products/Silicon_Anode_Material.html
Solid-state electrolyte,90.0,100.0,USD,10,kg,Dongguan Gelon Lib (LLZO),https://www.made-in-china.com/products-search/hot-china-products/Solid_State_Electrolyte.html
Solid-state electrolyte,75.0,95.0,USD,1,Piece,Xiamen AOT (LLZTO pellet),https://www.made-in-china.com/products-search/hot-china-products/Solid_State_Electrolyte.html
Solid-state electrolyte,125.0,135.0,USD,1,kg,Guangdong Pengjin (oxide electrolyte),https://www.made-in-china.com/products-search/hot-china-products/Solid_State_Electrolyte.html
EV motor,980.0,1690.0,USD,1,Piece,Golden Motor (20kw),https://www.made-in-china.com/products-search/hot-china-products/EV_Motor.html
EV motor,164.0,169.0,USD,1,Piece,Keya Electric (4000W PMSM),https://www.made-in-china.com/products-search/hot-china-products/EV_Motor.html
EV motor,385.0,395.0,USD,1,Piece,Hefei Huanxin (5kw AC),https://www.made-in-china.com/products-search/hot-china-products/EV_Motor.html
AC filter capacitor,0.75,1.2,USD,100,Piece,Smiler Electronic Industrial Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/AC_Filter_Capacitor.html
AC filter capacitor,0.38,29.29,USD,200,Piece,KESHENG FILM-CAP Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/AC_Filter_Capacitor.html
AC filter capacitor,3.8,8.8,USD,1,Piece,Wuxi Cre New Energy Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/AC_Filter_Capacitor.html
ACG assembly,20.0,75.0,USD,10,Piece,Prose Corp.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Alternator.html
ACG assembly,37.0,37.0,USD,2,Piece,Beijing Jiapin Ruitong Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Alternator.html
ACG assembly,25.99,99.99,USD,1,set,Quanzhou Gutai Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Alternator.html
Aluminum connector,0.28,7.0,USD,500,Piece,Socome Group Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Aluminum_Connector.html
Aluminum connector,0.3,1.5,USD,50,Piece,Wenzhou Yopu Electrical Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Aluminum_Connector.html
Aluminum connector,10.0,40.0,USD,30,Piece,Taixing Runzhong Trade Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Aluminum_Connector.html
Automotive ECU,40.0,47.0,USD,10,Piece,Guangzhou Gangzheng Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_ECU.html
Automotive ECU,150.0,170.0,USD,10,Piece,Xingzhan Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_ECU.html
Automotive ECU,9.0,299.0,USD,1,Piece,Jinan Zhixing Import & Export Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_ECU.html
Automotive wire,0.1,0.1,USD,1000,meter,Yangzhou Saige Wire & Cable Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Wire.html
Automotive wire,0.04,1.56,USD,1000,meter,B&T Cable Group Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Wire.html
Automotive wire,0.08,1.5,USD,100,meter,Henan Verde Electronic Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Wire.html
BDU (Battery Disconnect Unit),19.9,500.0,USD,10,Piece,Yichun Great Link Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Battery_Disconnect_Unit.html
BDU (Battery Disconnect Unit),20.2,23.0,USD,1,Piece,Toomotoo (Tianjin) Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Battery_Disconnect_Unit.html
BDU (Battery Disconnect Unit),8.0,10.0,USD,100,Piece,Wenzhou Hongming Trading Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Battery_Disconnect_Unit.html
Body control module (Body ECU),67.0,79.9,USD,1,Piece,Guangzhou Gangzheng Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Body_Control_Module.html
Body control module (Body ECU),168.08,280.14,USD,1,Piece,Hefei Yifan Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Body_Control_Module.html
Body control module (Body ECU),65.0,68.0,USD,1,Piece,Zhejiang Baiyuan Weihong Trading Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Body_Control_Module.html
Body domain controller,520.0,580.0,USD,5,Piece,Hangzhou Huiteng ECU Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Body_Domain_Controller.html
Body domain controller,50.0,250.0,USD,1,Piece,Jinan Gem Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Body_Domain_Controller.html
Brush card assembly,1.5,4.0,USD,3000,set,NANTONG YUCHI CARBON PRODUCTS CO. LTD.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Carbon_Brush.html
Brush card assembly,2.2,3.0,USD,3000,Piece,NANTONG YUCHI CARBON PRODUCTS CO. LTD.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Carbon_Brush.html
Brush card assembly,2.8,3.5,USD,100,set,NANTONG YUCHI CARBON PRODUCTS CO. LTD.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Carbon_Brush.html
Cable management accessory,0.06,0.08,USD,1000,Piece,Jiangxi Heying Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Cable_Management.html
Cable management accessory,0.03,0.03,USD,5000,Piece,Foshan Langli Hardware Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Cable_Management.html
Cable management accessory,0.1,1.0,USD,100,Piece,Nanpi County Yong'an Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Cable_Management.html
Cable tie,0.01,1.0,USD,200,Piece,Zhejiang Yongsheng Automobile Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Cable_Tie.html
Cable tie,0.05,0.8,USD,500,bag,Zhejiang Ruicheng Plastic Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Cable_Tie.html
Cable tie,0.01,1.0,USD,5000,Piece,Changsha Elewell Import&Export Co. Ltd,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Cable_Tie.html
Carbon brush,0.05,0.56,USD,5000,Piece,Ningbo NIDE Tech Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Carbon_Brush.html
Carbon brush,0.08,0.1,USD,100,Piece,Ningbo Sinomore Motor Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Carbon_Brush.html
Carbon brush,0.15,1.0,USD,3000,set,NANTONG YUCHI CARBON PRODUCTS CO. LTD.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Carbon_Brush.html
Column switch,3.58,3.86,USD,20,Piece,Shanghai Junxiang Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Steering_Column_Switch.html
Column switch,5.9,6.5,USD,50,Piece,IDO GROUP CO. LTD.,https://www.made-in-china.com/products-search/hot-china-products/Steering_Column_Switch.html
Column switch,6.0,9.5,USD,10,Piece,Aipsi (Huzhou) Auto Parts Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Steering_Column_Switch.html
Connector case,0.05,6.0,USD,1,Piece,Beijing Jingbei Components Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Connector_Housing.html
Connector case,0.79,9.9,USD,1,Piece,Dongguan Huahang Xinma Metal Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Connector_Housing.html
Connector housing,0.007,6.0,USD,1,Piece,Beijing Jingbei Components Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Connector_Housing.html
Connector housing,0.05,0.4,USD,2000,Piece,DONGGUAN YIXIAN ELECTRONIC TECHNOLOGY CO. LTD.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Connector_Housing.html
Connector housing,0.13,0.15,USD,200,Piece,Xuyao Electric Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Connector_Housing.html
DC filter capacitor,0.75,0.95,USD,50,Piece,Smiler Electronic Industrial Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/DC_Filter_Capacitor.html
DC filter capacitor,3.85,3.98,USD,1000,Piece,KESHENG FILM-CAP Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/DC_Filter_Capacitor.html
DC filter capacitor,10.0,35.0,USD,30,Piece,Anwo Electronic Industrial Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/DC_Filter_Capacitor.html
ECU case,1.29,16.55,USD,1,Piece,Ningbo Mingxin Electrical Machinery Manufacturing Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/ECU_Housing.html
ECU case,1.5,1.5,USD,200,Piece,Ningbo Beilun Jiawei Machinery Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/ECU_Housing.html
ECU case,0.1,4.99,USD,100,Piece,Qingdao Chengenxin Industry and Trade Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/ECU_Housing.html
Electric connector,0.05,6.0,USD,1,Piece,Beijing Jingbei Components Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Connector_Housing.html
Electric connector,0.1,0.5,USD,100,Piece,Chongqing Fuhan Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Connector_Housing.html
Electric connector,0.1,1.0,USD,100,Piece,Shenzhen Carsun Electronic Technology Co. Ltd,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Connector_Housing.html
Fuse / Circuit braker,0.01,0.03,USD,1000,Piece,Jiangxi Yoojo Technology Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Fuse.html
Fuse / Circuit braker,0.2,0.8,USD,1000,Piece,Xingtai Hongmao Auto Part Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Fuse.html
Fuse / Circuit braker,0.35,0.35,USD,1,Piece,Dongguan Maiyu Electronics Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Automotive_Fuse.html
Gate driver IC,0.5,1.2,USD,3000,Piece,Shenzhen Semilotec Co. Ltd.,https://www.made-in-china.com/products-search/hot-china-products/Gate_Driver_IC.html
